url,host,content_mime_type
http://account.adream.org/cas/login?service=http://mariupolski.info,account.adream.org,text/html
http://alexporn.org/tags/DAP/,alexporn.org,text/html
http://alexporn.org/tags/dap/,alexporn.org,text/html
http://apdrc.soest.hawaii.edu/erddap/griddap/hawaii_soest_2d95_7b3d_ec92.fgdc,apdrc.soest.hawaii.edu,application/xml
http://apdrc.soest.hawaii.edu/erddap/griddap/hawaii_soest_2d95_7b3d_ec92.html,apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/griddap/hawaii_soest_2d95_7b3d_ec92.iso19115,apdrc.soest.hawaii.edu,application/xml
http://apdrc.soest.hawaii.edu/erddap/griddap/hawaii_soest_7e5f_39be_ecc5.html,apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/griddap/index.htmlTable?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/griddap/index.itx?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/x-download
http://apdrc.soest.hawaii.edu/erddap/griddap/index.json?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/json
http://apdrc.soest.hawaii.edu/erddap/griddap/index.jsonlCSV?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/jsonl
http://apdrc.soest.hawaii.edu/erddap/griddap/index.jsonlKVP?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/jsonl
http://apdrc.soest.hawaii.edu/erddap/griddap/index.mat?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/x-download
http://apdrc.soest.hawaii.edu/erddap/griddap/index.nccsv?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/csv
http://apdrc.soest.hawaii.edu/erddap/griddap/index.tsv?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/tab-separated-values
http://apdrc.soest.hawaii.edu/erddap/griddap/index.xhtml?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/xhtml+xml
"http://apdrc.soest.hawaii.edu/erddap/tabledap/argo_all.help?longitude,latitude,time,pres,temp&time%3E=1998-09-01&time%3C=1998-09-02",apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/tabledap/fnmoc_temperature_1998_local.graph,apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/tabledap/fnmoc_temperature_1998_local.iso19115,apdrc.soest.hawaii.edu,application/xml
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.htmlTable?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/html
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.itx?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/x-download
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.json?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/json
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.jsonlCSV?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/jsonl
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.jsonlKVP?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/jsonl
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.mat?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/x-download
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.nccsv?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/csv
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.tsv?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,text/tab-separated-values
http://apdrc.soest.hawaii.edu/erddap/tabledap/index.xhtml?page=1&itemsPerPage=1000,apdrc.soest.hawaii.edu,application/xhtml+xml
http://archive.scene.org/pub/mirrors/amigascne/Parties/GravityParty_96/Amnesty_Hazchemix.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/scenesp.org/compilations/modplanet/normal/cd2/utils/trackers/amiga/ProTracker/ICON/Drawer.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1993.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1993/Investation.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1993/Jetset.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1993/Spaceballs.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1994/Sanity/Roots/Roots.DMS.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1996/Ephidrena/Mnemonic.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1996/Ephidrena/Puppets.info,archive.scene.org,application/x-info
http://archive.scene.org/pub/mirrors/the_scene_archives/Best_Of_The_Scene_Archives/Demos/1996/Limited_Edition/Mind_Traveller/Mindtraveller.readme.info,archive.scene.org,application/x-info
